JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ, LT, RG, RR,
2458321.500000000, A.D. 2018-Jul-22 00:00:00.0000, -4.912101815707468E-01,  8.160066972625455E-01,  3.537151196336446E-01, -1.482439674273506E-02, -7.376112604854537E-03, -3.284321105804856E-03,  5.867962887361064E-03,  1.016006278678206E+00,  9.962861413446666E-05,
2458321.541666667, A.D. 2018-Jul-22 01:00:00.0000, -4.918288078434012E-01,  8.156987956275601E-01,  3.535781885071186E-01, -1.486879975023642E-02, -7.405364972668094E-03, -3.288374287080935E-03,  5.867988122321356E-03,  1.016010647976137E+00,  1.079312923463260E-04,
2458321.583333333, A.D. 2018-Jul-22 02:00:00.0000, -4.924491529579429E-01,  8.153894115476498E-01,  3.534410882922413E-01, -1.490635987866463E-02, -7.446970519341395E-03, -3.292438299196189E-03,  5.868013778728504E-03,  1.016015090245328E+00,  1.031091090664158E-04,
2458321.625000000, A.D. 2018-Jul-22 03:00:00.0000, -4.930708678603667E-01,  8.150780733734897E-01,  3.533038184254576E-01, -1.493410454641018E-02, -7.498731846280354E-03, -3.296518355999057E-03,  5.868036718220290E-03,  1.016019062095207E+00,  8.547818044094746E-05,
2458321.666666667, A.D. 2018-Jul-22 04:00:00.0000, -4.936934930056941E-01,  8.147644161302318E-01,  3.531663781501942E-01, -1.494973326124114E-02, -7.557755416817901E-03, -3.300618455250103E-03,  5.868053984576279E-03,  1.016022051672072E+00,  5.622750826759006E-05,
2458321.708333333, A.D. 2018-Jul-22 05:00:00.0000, -4.943164898265767E-01,  8.144482065365884E-01,  3.530287665735635E-01, -1.495177524999000E-02, -7.620649820943497E-03, -3.304741104645735E-03,  5.868063005180817E-03,  1.016023613541332E+00,  1.733798573903051E-05,
2458321.750000000, A.D. 2018-Jul-22 06:00:00.0000, -4.949392776165152E-01,  8.141293590002940E-01,  3.528909827324101E-01, -1.493969023600636E-02, -7.683758154251065E-03, -3.308887149938155E-03,  5.868061766355250E-03,  1.016023399045334E+00, -2.855253700828693E-05,
2458321.791666667, A.D. 2018-Jul-22 07:00:00.0000, -4.955612733004562E-01,  8.138079414939329E-01,  3.527530256641745E-01, -1.491390545911224E-02, -7.743408588520413E-03, -3.313055716930276E-03,  5.868048950617293E-03,  1.016021180069093E+00, -7.832893080603368E-05,
2458321.833333333, A.D. 2018-Jul-22 08:00:00.0000, -4.961819313676963E-01,  8.134841709085274E-01,  3.526148944777179E-01, -1.487578640145512E-02, -7.796165964888606E-03, -3.317244271321680E-03,  5.868024026519235E-03,  1.016016864595290E+00, -1.286109730730986E-04,
2458321.875000000, A.D. 2018-Jul-22 09:00:00.0000, -4.968007812308909E-01,  8.131583982032531E-01,  3.524765884192559E-01, -1.482754322512660E-02, -7.839067170452770E-03, -3.321448792306562E-03,  5.867987284944981E-03,  1.016010502988912E+00, -1.759835987431799E-04,
2458321.916666667, A.D. 2018-Jul-22 10:00:00.0000, -4.974174594513367E-01,  8.128310843688239E-01,  3.523381069288825E-01, -1.477207933241597E-02, -7.869824170362454E-03, -3.325664048030274E-03,  5.867939819389771E-03,  1.016002284582790E+00, -2.172295477650479E-04,
2458321.958333333, A.D. 2018-Jul-22 11:00:00.0000, -4.980317346224541E-01,  8.125027688515302E-01,  3.521994496838112E-01, -1.471279242534385E-02, -7.886980783644233E-03, -3.329883954031424E-03,  5.867883451558508E-03,  1.015992524795352E+00, -2.495485761841983E-04,
2458322.000000000, A.D. 2018-Jul-22 12:00:00.0000, -4.986435232064584E-01,  8.121740326015131E-01,  3.520606166253710E-01, -1.465334169583975E-02, -7.890012460515933E-03, -3.334101990110157E-03,  5.867820607340543E-03,  1.015981643656316E+00, -2.707483069397743E-04,
2458322.041666667, A.D. 2018-Jul-22 13:00:00.0000, -4.992528952390912E-01,  8.118454582772011E-01,  3.519216079679067E-01, -1.459739709866587E-02, -7.879362224456966E-03, -3.338311647059404E-03,  5.867754151598162E-03,  1.015970137201212E+00, -2.793937182994273E-04,
2458322.083333333, A.D. 2018-Jul-22 14:00:00.0000, -4.998600695115253E-01,  8.115175903326937E-01,  3.517824241889731E-01, -1.454838788686640E-02, -7.856410316287541E-03, -3.342506872649357E-03,  5.867687193013346E-03,  1.015958543681640E+00, -2.749050740256605E-04,
2458322.125000000, A.D. 2018-Jul-22 15:00:00.0000, -5.004653985595782E-01,  8.111908977229026E-01,  3.516430660014943E-01, -1.450926764007077E-02, -7.823379620243874E-03, -3.346682486306088E-03,  5.867622872281303E-03,  1.015947406892117E+00, -2.575976017260966E-04,
2458322.166666667, A.D. 2018-Jul-22 16:00:00.0000, -5.010693444887716E-01,  8.108657417818879E-01,  3.515035343097981E-01, -1.448231188586821E-02, -7.783183352240670E-03, -3.350834534069957E-03,  5.867564148079892E-03,  1.015937239111835E+00, -2.286601885182834E-04,
2458322.208333333, A.D. 2018-Jul-22 17:00:00.0000, -5.016724472916999E-01,  8.105423514753578E-01,  3.513638301525345E-01, -1.446896218121368E-02, -7.739225446695475E-03, -3.354960559511073E-03,  5.867513595402325E-03,  1.015928486187047E+00, -1.900745178109976E-04,
2458322.250000000, A.D. 2018-Jul-22 18:00:00.0000, -5.022752878285973E-01,  8.102208077230355E-01,  3.512239546363906E-01, -1.446972733738998E-02, -7.695167319394337E-03, -3.359059772037326E-03,  5.867473230004319E-03,  1.015921497135036E+00, -1.444801348368007E-04,
2458322.291666667, A.D. 2018-Jul-22 19:00:00.0000, -5.028784480076695E-01,  8.099010378651125E-01,  3.510839088651448E-01, -1.448414855657167E-02, -7.654676987762013E-03, -3.363133101061034E-03,  5.867444370941591E-03,  1.015916500343221E+00, -9.499462326974727E-05,
2458322.333333333, A.D. 2018-Jul-22 20:00:00.0000, -5.034824708936292E-01,  8.095828206519545E-01,  3.509436938689198E-01, -1.451083086883750E-02, -7.621177738786421E-03, -3.367183132310981E-03,  5.867427550579598E-03,  1.015913587987822E+00, -4.500114657549756E-05,
2458322.375000000, A.D. 2018-Jul-22 21:00:00.0000, -5.040878234777938E-01,  8.092658014151610E-01,  3.508033105384832E-01, -1.454753871555807E-02, -7.597613565852558E-03, -3.371213930652089E-03,  5.867422478221007E-03,  1.015912709736157E+00,  2.082156710668955E-06,
